experiment,checkpoint_type,split,margin,embedding_dim,P,K,lr_scheduler,weight_decay,auc,eer,same_mean,same_std,diff_mean,diff_std
cnn1d_emb192_m022_P12K5_clean_baseline,last,test,0.22,192,12,5,,,0.967140605,0.07179999999999997,0.7053825855255127,0.2027059644460678,0.06258910149335861,0.2509600520133972
cnn1d_emb192_m022_P12K5_clean_baseline,last,val,0.22,192,12,5,,,0.9933140850000001,0.04049999999999998,0.7598806619644165,0.13724368810653687,0.012098057195544243,0.24748319387435913
cnn1d_emb192_m022_P12K5_clean_plus_musan_snr10_20,best,test,0.22,192,12,5,,,0.969538855,0.08050000000000002,0.7066485285758972,0.18195264041423798,0.07584656774997711,0.25474897027015686
cnn1d_emb192_m022_P12K5_clean_plus_musan_snr10_20,best,test_noisy_snr10,0.22,192,12,5,,,0.75214211,0.3169,0.32551777362823486,0.25192928314208984,0.08830075711011887,0.2360663264989853
cnn1d_emb192_m022_P12K5_clean_plus_musan_snr10_20,best,test_noisy_snr15,0.22,192,12,5,,,0.81812008,0.25860000000000005,0.39169180393218994,0.24325159192085266,0.0808296948671341,0.2356271743774414
cnn1d_emb192_m022_P12K5_clean_plus_musan_snr10_20,best,val,0.22,192,12,5,,,0.99461245,0.03639999999999999,0.7693392038345337,0.13092103600502014,0.014680479653179646,0.2513304650783539
cnn1d_emb192_m022_P12K5_clean_plus_musan_snr10_20,best,val_noisy_snr15,0.22,192,12,5,,,0.894569225,0.18700000000000003,0.4774166941642761,0.230202779173851,0.04744755104184151,0.24237383902072906
cnn1d_emb192_m022_P12K5_clean_plus_musan_snr10_20,last,test,0.22,192,12,5,,,0.9598891549999999,0.09150000000000001,0.680765688419342,0.2098563313484192,0.06924470514059067,0.23966947197914124
cnn1d_emb192_m022_P12K5_clean_plus_musan_snr10_20,last,val,0.22,192,12,5,,,0.994482465,0.03520000000000001,0.762200117111206,0.13499879837036133,0.005293827969580889,0.23954935371875763
cnn1d_emb192_m022_P12K5_clean_plus_white_snr10_20,best,test,0.22,192,12,5,,,0.96774523,0.07899999999999996,0.7181413769721985,0.19370384514331818,0.07722582668066025,0.2564661204814911
cnn1d_emb192_m022_P12K5_clean_plus_white_snr10_20,best,test_noisy_snr10,0.22,192,12,5,,,0.76783022,0.30400000000000005,0.36220672726631165,0.25150543451309204,0.10632987320423126,0.23822759091854095
cnn1d_emb192_m022_P12K5_clean_plus_white_snr10_20,best,test_noisy_snr15,0.22,192,12,5,,,0.83624447,0.24539999999999995,0.43230512738227844,0.23941580951213837,0.09843991696834564,0.23511375486850739
cnn1d_emb192_m022_P12K5_clean_plus_white_snr10_20,best,val,0.22,192,12,5,,,0.9927572950000001,0.04110000000000001,0.7705236077308655,0.13124839961528778,0.03250777721405029,0.2559172511100769
cnn1d_emb192_m022_P12K5_clean_plus_white_snr10_20,best,val_noisy_snr15,0.22,192,12,5,,,0.9027918200000001,0.1804,0.520256757736206,0.214814692735672,0.08681605011224747,0.2435379922389984
cnn1d_emb192_m022_P12K5_clean_plus_white_snr10_20,last,test,0.22,192,12,5,,,0.969592,0.07879999999999998,0.7033845782279968,0.18948282301425934,0.061857495456933975,0.25173744559288025
cnn1d_emb192_m022_P12K5_clean_plus_white_snr10_20,last,test_noisy_snr10,0.22,192,12,5,,,0.762985965,0.3055,0.32652443647384644,0.2529934346675873,0.07731130719184875,0.23651878535747528
cnn1d_emb192_m022_P12K5_clean_plus_white_snr10_20,last,test_noisy_snr15,0.22,192,12,5,,,0.8277982399999999,0.24950000000000003,0.3962940573692322,0.24675936996936798,0.06959331035614014,0.23559504747390747
cnn1d_emb192_m022_P12K5_clean_plus_white_snr10_20,last,val,0.22,192,12,5,,,0.9927545750000001,0.0435,0.7684504985809326,0.1351315975189209,0.026714880019426346,0.2549009323120117
