experiment,checkpoint_type,split,auc,eer,same_mean,same_std,diff_mean,diff_std
clean+esc50_snr20,best,test,0.966602905,0.08320000000000002,0.7138271927833557,0.17056165635585785,0.13377782702445984,0.254040002822876
clean+esc50_snr20,best,test_noisy,0.9583983650000001,0.1031,0.6587178111076355,0.1749972105026245,0.11482483148574829,0.24685849249362946
clean+esc50_snr20,best,val,0.98720044,0.05789999999999995,0.7415684461593628,0.1483573317527771,0.02609947882592678,0.2540050745010376
clean+esc50_snr20,best,val_noisy,0.97864321,0.07620000000000002,0.6842406988143921,0.1681760847568512,0.02078218013048172,0.24876371026039124
